station_id,avg_tidal_range,range_gte_10ft,range_gte_18ft
9456901,11.3,True,False
9455606,15.8,True,False
9451317,13.3,True,False
9455920,25.5,True,True
9451625,11.4,True,False
9455595,16.0,True,False
9451287,13.0,True,False
9451012,14.2,True,False
9450914,13.4,True,False
9451074,12.3,True,False
9455711,17.3,True,False
9452421,13.7,True,False
9455735,17.5,True,False
9465261,15.0,True,False
9455558,15.8,True,False
9454050,10.1,True,False
9450296,12.6,True,False
9451438,12.0,True,False
9452328,12.5,True,False
9455912,23.1,True,True
9455963,26.0,True,True
9452294,12.6,True,False
9452438,12.6,True,False
9450364,10.5,True,False
9452210,13.7,True,False
9451528,11.9,True,False
9455732,15.9,True,False
9455517,15.6,True,False
9450460,12.9,True,False
9457724,11.3,True,False
9451422,13.4,True,False
9450625,13.4,True,False
9451152,13.7,True,False
9450753,13.5,True,False
9450314,12.5,True,False
9451247,10.4,True,False
9457407,11.0,True,False
9455760,17.5,True,False
9455653,16.4,True,False
9455869,17.2,True,False
9456717,11.2,True,False
9451346,13.6,True,False
9451005,13.5,True,False
9451263,12.7,True,False
9455866,21.9,True,True
9455934,25.1,True,True
9465056,12.5,True,False
9451936,12.4,True,False
9451467,10.4,True,False
9451124,13.5,True,False
9451497,11.1,True,False
9455500,15.4,True,False
9451853,10.4,True,False
9452400,14.0,True,False
9465374,15.1,True,False
9457493,11.6,True,False
9452749,14.1,True,False
9451785,12.3,True,False
9451349,12.7,True,False
9450970,13.6,True,False
9451434,13.3,True,False
9451037,13.8,True,False
9457535,11.5,True,False
9451204,13.6,True,False
8414612,12.7,True,False
8413320,10.5,True,False
8410714,16.7,True,False
8411060,13.6,True,False
8411250,12.5,True,False
8410140,18.0,True,True
8413801,10.6,True,False
8414721,10.4,True,False
8410715,18.8,True,True
8410864,17.0,True,False
8412581,11.0,True,False
8414249,10.1,True,False
8410834,19.2,True,True
9446807,10.3,True,False
